exp,inoc,sal,trait,mean,sd
con,C1-3,100,sugar,75.3,
con,C1-5,100,sugar,77.03,
con,C2-3,100,sugar,78.77,
con,C2-5,100,sugar,80.51,
con,C4-5,100,sugar,82.25,
con,Control,150,sugar,31.83,
con,C1-3,150,sugar,61.39,
con,C1-5,150,sugar,63.12,
con,C2-3,150,sugar,64.86,
con,C2-5,150,sugar,66.6,
con,C4-5,150,sugar,70.08,
iso,Control,0,dpph,90.0,1.0
iso,IS-01,0,dpph,64.0,1.0
iso,IS-02,0,dpph,67.0,1.0
iso,IS-03,0,dpph,69.0,1.0
iso,IS-04,0,dpph,73.0,1.0
iso,IS-05,0,dpph,77.0,1.0
iso,IS-06,0,dpph,80.0,1.0
iso,Control,50,dpph,65.0,1.0
iso,IS-01,50,dpph,62.0,1.0
iso,IS-02,50,dpph,67.0,1.0
iso,IS-03,50,dpph,72.0,1.0
iso,IS-04,50,dpph,74.0,1.0
iso,IS-05,50,dpph,77.0,1.0
iso,IS-06,50,dpph,81.0,1.0
iso,Control,100,dpph,82.0,1.0
iso,IS-01,100,dpph,62.0,1.0
iso,IS-02,100,dpph,68.0,1.0
iso,IS-03,100,dpph,69.0,1.0
iso,IS-04,100,dpph,72.0,1.0
iso,IS-05,100,dpph,74.0,1.0
iso,IS-06,100,dpph,78.0,1.0
iso,Control,150,dpph,70.0,1.0
iso,IS-01,150,dpph,63.0,1.0
iso,IS-02,150,dpph,65.0,1.0
iso,IS-03,150,dpph,74.0,1.0
iso,IS-04,150,dpph,78.0,1.0
iso,IS-05,150,dpph,80.0,1.0
iso,IS-06,150,dpph,88.0,1.0
con,Control,0,dpph,70.6,
con,C1-3,0,dpph,62.3,
con,C1-5,0,dpph,64.4,
con,C2-3,0,dpph,63.7,
con,C2-5,0,dpph,64.9,
con,C4-5,0,dpph,66.6,
con,Control,50,dpph,64.8,
con,C1-3,50,dpph,53.8,
con,C1-5,50,dpph,64.9,
con,C2-3,50,dpph,60.1,
con,C2-5,50,dpph,71.4,
con,C4-5,50,dpph,74.8,
con,Control,100,dpph,82.0,
con,C1-3,100,dpph,36.1,
con,C1-5,100,dpph,65.5,
con,C2-3,100,dpph,71.4,
con,C2-5,100,dpph,68.1,
con,C4-5,100,dpph,72.7,
con,Control,150,dpph,69.9,
con,C1-3,150,dpph,70.9,
con,C1-5,150,dpph,76.6,
con,C2-3,150,dpph,81.0,
con,C2-5,150,dpph,82.7,
con,C4-5,150,dpph,84.6,
iso,Control,0,phenol,20.56,
iso,Control,50,phenol,9.5,
iso,Control,100,phenol,7.27,
iso,Control,150,phenol,6.15,
iso,IS-06,0,phenol,25.26,
iso,IS-06,50,phenol,24.03,
iso,IS-06,100,phenol,24.03,
iso,IS-06,150,phenol,20.67,
iso,IS-05,50,phenol,21.79,
iso,IS-05,100,phenol,16.21,
iso,IS-05,150,phenol,15.09,
iso,IS-01,0,phenol,11.74,
iso,IS-01,150,phenol,2.8,
