exp,inoc,sal,trait,mean,sd
iso,Control,100,germ_n,20.0,
iso,Control,100,seeds,30.0,
iso,Control,100,root_cm,3.61,0.1
iso,Control,100,shoot_cm,19.0,0.01
iso,Control,100,SVI_reported,745.8,10.8
iso,IS-01,100,germ_n,21.0,
iso,IS-01,100,seeds,30.0,
iso,IS-01,100,root_cm,2.52,0.02
iso,IS-01,100,shoot_cm,18.0,0.05
iso,IS-01,100,SVI_reported,718.2,10.9
iso,IS-02,100,germ_n,19.0,
iso,IS-02,100,seeds,30.0,
iso,IS-02,100,root_cm,3.09,0.08
iso,IS-02,100,shoot_cm,17.01,0.04
iso,IS-02,100,SVI_reported,633.15,9.84
iso,IS-03,100,germ_n,20.0,
iso,IS-03,100,seeds,30.0,
iso,IS-03,100,root_cm,3.48,0.04
iso,IS-03,100,shoot_cm,23.0,0.02
iso,IS-03,100,SVI_reported,887.08,13.8
iso,IS-04,100,germ_n,22.0,
iso,IS-04,100,seeds,30.0,
iso,IS-04,100,root_cm,4.03,0.06
iso,IS-04,100,shoot_cm,19.33,0.57
iso,IS-04,100,SVI_reported,852.64,10.8
iso,IS-05,100,germ_n,20.0,
iso,IS-05,100,seeds,30.0,
iso,IS-05,100,root_cm,1.08,0.08
iso,IS-05,100,shoot_cm,22.04,0.04
iso,IS-05,100,SVI_reported,774.52,14.8
iso,IS-06,100,germ_n,23.0,
iso,IS-06,100,seeds,30.0,
iso,IS-06,100,root_cm,4.5,0.01
iso,IS-06,100,shoot_cm,23.04,0.03
iso,IS-06,100,SVI_reported,1060.2,13.1
iso,Control,150,germ_n,18.0,
iso,Control,150,seeds,30.0,
iso,Control,150,root_cm,2.06,0.05
iso,Control,150,shoot_cm,13.96,0.05
iso,Control,150,SVI_reported,480.6,8.41
iso,IS-01,150,germ_n,20.0,
iso,IS-01,150,seeds,30.0,
iso,IS-01,150,root_cm,3.02,0.03
iso,IS-01,150,shoot_cm,18.05,0.04
iso,IS-01,150,SVI_reported,695.31,10.6
iso,IS-02,150,germ_n,17.0,
iso,IS-02,150,seeds,30.0,
iso,IS-02,150,root_cm,4.02,0.03
iso,IS-02,150,shoot_cm,15.04,0.05
iso,IS-02,150,SVI_reported,543.21,7.79
iso,IS-03,150,germ_n,16.0,
iso,IS-03,150,seeds,30.0,
iso,IS-03,150,root_cm,3.48,0.04
iso,IS-03,150,shoot_cm,23.0,0.02
iso,IS-03,150,SVI_reported,701.72,13.8
iso,IS-04,150,germ_n,19.0,
iso,IS-04,150,seeds,30.0,
iso,IS-04,150,root_cm,2.99,0.09
iso,IS-04,150,shoot_cm,24.9,0.1
iso,IS-04,150,SVI_reported,878.53,15.4
iso,IS-05,150,germ_n,21.0,
iso,IS-05,150,seeds,30.0,
iso,IS-05,150,root_cm,5.03,0.03
iso,IS-05,150,shoot_cm,23.68,0.59
iso,IS-05,150,SVI_reported,1004.8,13.1
iso,IS-06,150,germ_n,21.0,
iso,IS-06,150,seeds,30.0,
iso,IS-06,150,root_cm,5.02,0.02
iso,IS-06,150,shoot_cm,28.19,0.26
iso,IS-06,150,SVI_reported,1328.4,18.3
con,Control,0,germ_n,25.0,
con,Control,0,seeds,30.0,
con,Control,0,root_cm,4.3,0.1
con,Control,0,shoot_cm,22.9,0.15
con,Control,0,SVI_reported,1131.2,9.33
con,C1-3,0,germ_n,20.0,
con,C1-3,0,seeds,30.0,
con,C1-3,0,root_cm,2.33,0.11
con,C1-3,0,shoot_cm,18.8,0.28
con,C1-3,0,SVI_reported,707.8,11.64
con,C1-5,0,germ_n,26.0,
con,C1-5,0,seeds,30.0,
con,C1-5,0,root_cm,2.3,0.2
con,C1-5,0,shoot_cm,16.5,0.5
con,C1-5,0,SVI_reported,817.8,10.04
con,C2-3,0,germ_n,25.0,
con,C2-3,0,seeds,30.0,
con,C2-3,0,root_cm,1.93,0.11
con,C2-3,0,shoot_cm,14.9,0.6
con,C2-3,0,SVI_reported,698.4,9.17
con,C2-5,0,germ_n,23.0,
con,C2-5,0,seeds,30.0,
con,C2-5,0,root_cm,2.23,0.23
con,C2-5,0,shoot_cm,16.6,0.41
con,C2-5,0,SVI_reported,724.9,10.16
con,C4-5,0,germ_n,27.0,
con,C4-5,0,seeds,30.0,
con,C4-5,0,root_cm,3.23,0.25
con,C4-5,0,shoot_cm,18.4,0.52
con,C4-5,0,SVI_reported,973.3,10.72
con,Control,50,germ_n,24.0,
con,Control,50,seeds,30.0,
con,Control,50,root_cm,4.06,0.06
con,Control,50,shoot_cm,21.0,0.36
con,Control,50,SVI_reported,1260.0,13.7
con,C1-3,50,germ_n,22.0,
con,C1-3,50,seeds,30.0,
con,C1-3,50,root_cm,3.52,0.02
con,C1-3,50,shoot_cm,22.0,11.4
con,C1-3,50,SVI_reported,931.4,13.06
con,C1-5,50,germ_n,24.0,
con,C1-5,50,seeds,30.0,
con,C1-5,50,root_cm,2.42,0.11
